"codsubcuenta","concepto","codcontrapartida","debe","haber","id","idasientopre","orden"
"5200.A","Pago cuota capital préstamo","","C","","163","60","0"
"6623.A","Intereses del préstamo","","D","","164","60","5"
"572.A","Pago banco cuota préstamo","","","Z","165","60","10"
"572.A","Disposición póliza de crédito","","B","","166","61","0"
"5201.A","Deuda a corto plazo crédito dispuesto","","","B","167","61","5"
"5201.A","Devolución póliza de crédito","","B","","168","62","0"
"572.A","Reintegro banco póliza","","","B","169","62","5"
"524.A","Cuota leasing capital CP","","C","","170","63","0"
"6623.A","Intereses leasing del periodo","","D","","171","63","5"
"572.A","Pago cuota leasing banco","","","Z","172","63","10"
"217.A","Alta bien en leasing (equipos informáticos)","","B","","173","64","0"
"174.A","Acreedor arrendamiento financiero LP","","","C","174","64","5"
"524.A","Acreedor arrendamiento financiero CP","","","D","175","64","10"
"6300.A","Impuesto corriente IS","","B","","176","65","0"
"4752.A","H.P. acreedora por IS","","","B","177","65","5"
"129.A","Resultado del ejercicio","","B","","178","66","0"
"121.A","Resultados negativos ejercicios anteriores","","","B","179","67","0"
"129.A","Resultado ejercicio aplicado a compensar pérdidas","","B","","180","67","5"
"129.A","Resultado ejercicio dotación reserva legal","","B","","181","68","0"
"112.A","Reserva legal","","","B","182","68","5"
"300.A","Existencias iniciales regularizadas","","","B","183","69","0"
"610.A","Variación existencias mercaderías","","B","","184","69","5"
"460.A","Anticipo de remuneración","","B","","185","70","0"
"572.A","Pago anticipo nómina banco","","","B","186","70","5"
"641.A","Indemnización por despido","","B","","187","71","0"
"465.A","Remuneraciones pendientes de pago","","","B","188","71","5"
"649.A","Otros gastos sociales","","B","","189","72","0"
"410.A","Acreedor gastos sociales","","","Z","190","72","5"
"472.A","IVA soportado gastos sociales","","C","","191","72","10"
"624.A","Transporte y mensajería","","B","","192","73","0"
"472.A","IVA soportado transportes","","C","","193","73","5"
"410.A","Acreedor transporte","","","Z","194","73","10"
"627.A","Publicidad y propaganda","","B","","195","74","0"
"472.A","IVA soportado publicidad","","C","","196","74","5"
"410.A","Acreedor publicidad","","","Z","197","74","10"
